Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
10,1225,95.11,55.84,11.51,68.89,35,22.37,67.92,34.69,7.51,3.84,2.12,0.24,1.14,0,0.33,3.67,6.53,13.88,4.08,2.29,3.27,0.57,8.24,7.27,2.04,0.98,3.76,3.27,4.08,3.18,0.9,0,0.49,0.16,4.33,0.33,0.65,0,0.41,6.53,0.9,1.22,0.98,1.63,1.55,1.06,6.94,6.12,0.33,0.49,1.55,1.22,0.49,0,0.08,5.14,0.9,2.37,1.47,1.96,0,1.39,5.22,1.06,10.69,0.49,7.18,3.02,4.08,1.63,0.16,1.96,0.08,0.08,1.39,0.49,0.73,0.08,0,0,28.49,6.29,4,0,0,0.16,0.65,7.02,1.31,2.37,0.65,6.04
11,334,57.2,78.19,25.59,99,19.65,19.16,83.83,53.89,19.46,13.77,5.99,0.3,4.79,0.6,2.1,5.69,8.98,11.38,10.18,3.29,4.19,1.2,15.87,5.69,2.69,0.9,1.8,2.1,6.89,6.59,0.3,0.3,0,0,13.17,0,0.6,0.3,0.6,9.58,2.1,1.2,0.9,2.99,1.8,3.29,2.99,2.1,0,0.9,1.2,0.3,0,0,0,7.19,2.1,1.8,2.69,2.1,0,0.3,11.98,3.59,7.19,0.9,5.09,1.2,2.4,1.2,2.4,0.3,0.3,0.3,1.2,0,0,1.2,0,0,18.56,8.38,0.9,0.9,0,1.2,0.3,0.6,0,3.29,0,2.99
12,238,74.35,76.25,28.81,99,21.64,19.75,88.66,53.78,16.81,8.4,4.62,0.84,2.1,0,0.84,8.4,9.24,13.45,9.24,2.1,5.04,0.84,14.71,4.2,2.52,1.26,2.94,2.94,7.56,7.14,0.42,0,0,0.42,12.18,0.42,0.42,0,0,12.18,2.1,1.68,2.1,2.1,2.94,2.52,2.94,1.68,0.42,0.42,0.84,0.84,0,0,0,12.61,5.88,3.78,3.78,2.1,0.42,2.94,11.76,0.84,10.5,0.42,5.04,5.04,3.36,1.26,0.84,1.26,0,0,0,0,0,0,0,0,13.45,5.88,2.52,0,0.84,0.42,0.42,0,0,0,0,3.36
13,280,72.46,54.27,22.31,72.57,25.45,14.29,82.86,52.86,11.79,8.93,6.43,0,0.36,0,2.14,2.86,6.79,16.07,8.57,3.93,10,0.71,14.64,2.5,2.14,1.43,2.86,4.29,2.5,2.5,0,0,0,0,9.29,0.36,0.36,0,0.71,6.79,0.71,0.71,1.43,2.5,1.07,1.43,2.5,1.79,0.36,0.36,1.79,0.36,0,0.71,0,6.79,2.14,1.07,2.5,1.43,0,3.93,6.43,2.14,9.29,0.71,7.86,1.07,1.79,3.21,0.36,2.86,0,0,0,0,0,0,0,0,11.07,5.36,3.21,0,0,0,0.36,0.36,0,1.43,0,0.36
14,203,76.59,32.88,9.98,99,67.67,21.67,83.74,53.69,14.29,10.34,7.88,0,2.46,0,0,3.94,9.36,13.79,9.85,2.46,4.93,1.97,14.78,4.93,3.94,0.99,0.49,2.46,6.9,6.9,0,0,0,0,4.43,0,0.49,0,0,10.34,0.99,2.46,1.48,0.99,2.96,1.48,1.48,0.99,0,0,0.49,0,0.49,0,0,2.96,0,1.97,0,1.48,0,0.99,11.82,0,4.43,0.49,1.97,1.97,3.94,0,0.99,1.97,0.49,0,0.49,0,0,0.49,0,0,11.33,4.93,3.45,0.49,0,1.48,0,0,0,0,0,0.99
15,1692,89.09,47.16,20.04,72.27,24.88,21.1,70.92,45.8,7.45,4.26,2.96,0.24,0.95,0,0.12,3.19,9.4,12.94,9.16,2.66,5.56,0.77,11.82,4.37,2.3,1.06,4.49,2.78,2.84,2.66,0.18,0.06,0,0.06,3.66,0,0.06,0,0,7.51,1.71,0.77,0.77,1.06,2.25,1.83,1.48,1.18,0,0.24,0.65,0.3,0.24,0,0.12,4.49,0.71,2.25,1.06,1.48,0.18,2.42,6.32,3.9,10.22,1.6,4.79,4.79,3.01,2.36,0,1.36,0,0,0.41,0,0.12,0,0.3,0,16.37,4.61,4.73,0.3,0,0,1.12,1,1.24,0.47,0.53,2.36
16,586,40.92,56.1,32.4,90.52,24.42,14.85,89.25,60.92,19.28,12.12,6.66,0.68,3.75,0,1.02,7.17,6.48,14.33,10.58,5.8,7.17,1.71,18.6,4.78,3.07,0.85,0.68,2.05,4.1,3.92,0,0,0,0,9.73,0,0,0,0,14.33,1.19,3.24,3.07,2.9,1.54,4.27,3.41,2.56,0.17,0.51,0.85,0.17,0.51,0,0,3.75,1.37,1.88,0.68,0.85,0,1.54,13.99,3.07,9.22,1.71,4.44,2.9,3.07,1.19,0.17,0.51,0,0,0.85,0,0,0.68,0.17,0,14.16,3.92,5.46,1.02,0,0.51,1.19,0.68,0.34,0.68,0,0.34
17,492,59.09,59.64,42.84,97.06,17.57,15.45,81.71,52.03,18.29,11.99,6.3,0,5.49,0,0.2,6.3,7.11,13.41,10.37,2.44,5.28,1.42,16.87,7.93,4.27,1.83,0.81,3.46,7.72,6.3,1.22,0.2,0.41,0.2,8.54,0,0.41,0,0,9.96,1.22,2.24,1.02,3.66,0.81,3.86,2.24,1.22,0,0.81,0.41,0.41,0,0,0,5.49,0.81,0.81,2.44,1.63,0.2,0.81,11.79,3.66,9.55,1.42,6.5,1.83,1.22,2.24,1.63,0.61,0,0,0.2,0,0,0.2,0,0,22.76,7.52,3.25,0,0.2,1.83,1.22,1.42,0,6.3,0.81,0.2
18,362,88.25,97.78,7.67,99,51.71,22.1,78.73,38.4,11.05,7.73,0,6.91,0.83,0,0,3.31,5.25,13.26,3.87,1.66,5.8,0,9.94,5.8,3.04,0.55,2.76,3.04,6.63,6.35,0.28,0,0,0,13.26,0,0,0,0.28,7.46,1.66,2.76,0.83,1.66,1.1,0.83,0,0,0,0,0.83,0,0,0.28,0.28,17.4,10.77,4.42,3.04,1.38,0.28,1.93,6.35,0.83,10.77,1.93,4.14,4.7,9.94,4.7,0.28,1.66,0,0,0.83,0,0.55,0,0.28,0,21.55,6.35,9.12,0.28,0,0.28,0.28,1.93,0,1.1,0,2.21
19,614,78.86,53.91,21.6,40.41,30.7,16.12,77.2,47.56,11.4,7.33,3.91,0.49,2.93,0,0,4.07,7.49,13.68,7.82,4.56,6.03,0.65,12.87,2.93,1.47,0.49,4.72,4.56,1.47,1.14,0.33,0,0,0,5.7,0,0.16,0,0,9.12,0.49,1.79,1.95,3.09,1.14,3.58,2.93,1.95,0.33,0.65,0.49,0.16,0,0,0.33,9.45,0.98,1.79,4.4,3.26,0.16,1.63,9.93,3.09,10.26,1.63,6.19,2.77,4.4,1.79,0.16,3.26,0,0,0,0,0,0,0,0,30.46,3.58,6.35,2.28,0,0.16,2.28,2.28,2.61,3.26,3.91,3.75
20,185,85.08,79.13,3.02,56.39,92.5,16.76,68.65,42.16,9.73,7.03,1.62,0.54,4.86,0,0,2.7,7.57,10.81,5.95,0.54,8.11,0,9.19,5.95,2.16,0.54,11.89,3.78,1.62,1.62,0,0,0,0,8.65,0,0,0,0,8.11,1.62,0,2.16,5.95,0.54,4.32,2.16,2.16,0,0,0,0,0,0,0,11.35,0.54,6.49,1.62,5.41,0,0,5.41,3.78,4.32,0,3.24,1.08,3.78,0,0,2.7,0,0,0,0,0,0,0,0,16.22,3.78,1.62,0,0,0,0,0.54,2.16,0,3.24,4.86
21,297,77.11,96.78,3.5,84.94,37.12,14.48,67.68,43.43,14.81,9.76,0,6.06,2.69,0,1.01,5.05,4.38,13.47,4.71,3.37,5.05,0,9.09,4.38,3.37,1.35,11.45,5.05,3.37,3.37,0,0,0,0,11.11,0,0,0,0,5.72,0.67,1.35,1.68,1.01,0.67,1.35,1.35,0.34,0,0.67,1.01,0.67,0,0,0,13.8,6.73,1.35,1.68,5.39,0,1.01,9.76,0.67,9.76,0.34,6.4,2.36,1.68,1.01,0,1.35,0,0,0.67,0,0.34,0.34,0,0,31.99,5.72,4.04,0,0,0,0.67,1.01,0,0.34,0,20.2
22,1687,89.31,54.49,20.54,80.54,18.34,18.2,81.51,48.9,9.6,4.74,2.31,0.47,0.77,0.77,0.41,4.86,11.38,13.69,8.3,3.62,6.22,0.41,14.46,5.45,2.96,0.59,2.85,2.31,4.33,3.68,0.65,0.3,0.06,0.12,5.51,0.3,0.47,0.06,0.95,10.02,2.02,2.19,1.54,2.96,0.77,2.9,2.02,0.95,0.47,0.36,0.65,0.41,0.06,0.06,0.18,8.36,1.72,3.38,2.07,3.62,0.12,2.19,10.37,2.19,11.14,1.19,5.81,4.27,5.16,2.9,0.36,0.59,0.24,0.41,0.3,0,0.12,0.12,0.12,0,21.87,7.17,1.9,0.24,0,0.12,1.24,6.28,0.12,3.08,1.48,0.24
23,358,81.75,34.78,23.98,87.81,21.06,23.18,81.84,49.44,9.78,6.42,5.03,0,1.12,0,0.28,3.35,6.7,14.8,9.78,1.68,7.26,0.84,14.25,3.07,1.12,0.56,4.47,3.91,3.63,3.63,0,0,0,0,1.96,0,0,0,0,9.5,1.96,3.07,1.12,2.23,1.4,1.12,1.68,1.4,0,0.28,0.56,0.56,0,0,0,6.98,0.28,4.19,1.68,1.4,0,1.68,9.22,3.07,9.78,0,6.15,3.63,7.54,3.91,0,0.84,0.56,0,0,0,0,0,0,0,16.48,4.47,6.15,0,0,0,0.28,0.56,0,0.84,1.12,3.07
24,167,90.19,70.51,68.86,70.81,83.5,22.75,74.85,46.71,5.99,2.99,0,2.4,0.6,0,0,2.99,5.99,17.37,8.38,4.79,6.59,0,13.17,4.19,1.8,0.6,1.2,0.6,2.4,2.4,0,0,0,0,4.79,0,0,0,0,7.19,0.6,2.99,0,2.4,0.6,2.4,0.6,0.6,0,0,0.6,0,0.6,0,0,8.98,2.99,2.4,4.19,0,0,4.19,7.19,3.59,20.96,2.4,14.97,4.19,5.39,0.6,0,1.8,0,0,0.6,0,0.6,0,0,0,19.16,5.99,2.99,0.6,0,0,0,2.99,0,0.6,2.4,3.59
25,309,32.49,33.69,80.75,83.35,38.62,19.42,89.64,57.61,19.74,13.27,7.77,0,1.62,1.94,1.94,6.47,4.53,14.56,10.03,7.12,7.77,1.29,21.36,5.18,2.27,1.94,0,3.88,5.83,4.53,1.29,0.32,0.97,0,8.09,0,0,0.97,1.29,16.83,4.21,2.27,2.59,4.21,2.27,4.53,1.94,0.97,0.97,0,1.29,0.97,0.32,0,0,4.21,0.32,2.27,1.29,0.97,0,2.59,12.94,2.27,14.24,2.27,8.09,3.88,1.94,0.65,0.32,2.27,0,0.32,1.62,0.32,0,0.65,0.32,0.32,18.77,4.85,3.56,0,0,0,0.65,1.29,0,4.21,2.59,1.62
26,153,95.5,94.15,6.2,97.48,51,13.07,83.66,48.37,10.46,5.88,0,3.27,2.61,0,0,4.58,11.11,15.03,5.23,1.31,5.23,0.65,11.11,5.23,3.27,0,3.27,7.84,5.23,5.23,0,0,0,0,12.42,0,0,0,1.96,12.42,1.31,1.31,1.31,6.54,2.61,1.96,0,0,0,0,0,0,0,0,0,11.11,4.58,1.31,3.92,1.96,0,1.96,9.15,0.65,9.8,0.65,7.84,1.31,3.27,2.61,0,2.61,0,0,1.31,0,1.31,0,0,0,25.49,4.58,3.27,0.65,0,0,0.65,7.19,0,1.96,0,7.19
27,109,91.9,70.91,4.81,42.41,21.8,25.69,69.72,44.95,5.5,4.59,0.92,0.92,1.83,0.92,0,0.92,10.09,12.84,11.93,0,5.5,0.92,18.35,0.92,0,0,0.92,0.92,0.92,0.92,0,0,0,0,6.42,0,0.92,0,0.92,5.5,0,0.92,1.83,2.75,0.92,1.83,1.83,1.83,0,0,0,0,0,0,0,4.59,0.92,2.75,0.92,0,0,6.42,11.01,2.75,11.01,1.83,9.17,0,3.67,2.75,0,2.75,0,0,0,0,0,0,0,0,24.77,5.5,2.75,0.92,0,0,0,1.83,1.83,5.5,1.83,4.59
28,374,77.56,40.49,93.76,56.05,34,21.39,83.16,49.2,15.24,11.23,8.82,0,2.14,0.27,0,3.74,7.22,14.71,4.81,4.81,5.88,1.07,12.57,3.48,1.6,1.07,1.6,3.21,6.68,4.01,2.41,0,2.41,0,8.56,0,0,0,0.27,11.23,4.28,1.6,1.07,2.94,1.6,2.94,1.34,0.53,0.53,0.27,1.34,0,0.53,0.27,0,9.09,1.87,2.94,1.87,2.67,0.53,5.88,6.15,1.07,15.51,1.6,8.29,5.88,4.01,1.87,0.27,1.07,0,0.27,0.53,0.27,0.27,0,0,0,15.78,3.74,5.08,0.53,0,0,0.53,0.27,0,1.34,1.6,2.67
29,750,83.85,79.94,19.62,87.49,37.5,22.8,78.13,45.73,12.27,8.53,3.6,1.07,3.73,0,0.13,3.73,8.13,13.07,6.27,3.33,5.6,0.4,10.93,5.47,3.47,0.53,1.73,5.2,4.67,4.13,0.53,0.13,0,0,9.6,0,0.4,0,0.13,10.27,2.53,2.4,0.8,2.53,1.33,1.73,2.67,1.47,0,0.8,1.47,0.67,0.13,0,0.53,7.2,2.13,2.27,2,1.87,0.13,0.8,8.8,1.6,8.8,0.8,5.33,2.53,3.6,0.93,0.13,0.93,0.27,0,1.07,0.27,0.4,0.4,0,0,19.6,3.07,4.53,0.4,0.27,0.4,2.67,0.67,0,2.4,0.67,4.53
30,257,98.9,43.81,23.84,69.76,51.4,24.51,77.82,47.47,7.39,3.5,3.11,0,0,0,0.39,3.89,10.89,19.46,7,0.78,3.5,0,12.06,5.06,2.33,0,1.95,2.72,2.33,2.33,0,0,0,0,1.56,0,0.39,0,0,5.06,1.17,1.95,0.39,1.17,0.39,0,2.72,2.72,0,0,0.78,0.78,0,0,0,3.5,0.39,1.56,0.78,0.78,0,2.72,8.17,1.56,12.84,1.17,9.34,2.72,3.89,3.89,0,3.11,0,0,0.39,0,0,0,0.39,0,8.95,2.72,4.28,0,0,0,0,0.39,0,0,0.78,0.78
31,103,85.28,31.38,8.13,12.81,20.6,9.71,70.87,38.83,12.62,8.74,7.77,0,0,0,0.97,3.88,6.8,9.71,5.83,2.91,0.97,0,7.77,2.91,0.97,0.97,4.85,2.91,0.97,0,0.97,0,0,0.97,2.91,0,0,0,0,3.88,0,0.97,0,1.94,0.97,0,0.97,0.97,0,0,0,0,0,0,0,4.85,1.94,0.97,2.91,0.97,0,0,6.8,0,4.85,0,3.88,0.97,6.8,14.56,0,3.88,0,0,3.88,0,3.88,0,0,0,26.21,12.62,0,0,0,0,0,5.83,0,0,0,7.77
32,172,95.65,86.54,1,99,24.57,25.58,78.49,41.86,7.56,4.07,0,1.16,0,2.91,0,3.49,8.72,13.95,6.98,1.16,3.49,0,13.37,2.33,0,1.74,1.74,1.74,9.3,9.3,0,0,0,0,9.88,1.16,0,0,3.49,6.98,1.16,2.33,0.58,0,2.91,0,2.91,1.16,1.74,0,2.91,0.58,1.16,0.58,0.58,5.23,2.33,1.74,1.74,0.58,0,2.91,11.05,1.74,8.72,2.33,3.49,2.91,5.81,6.98,0.58,1.16,0,0,0,0,0,0,0,0,21.51,5.23,4.65,0.58,0,0,0.58,3.49,0,2.33,0,4.65
33,578,70.04,43.81,38.22,51.68,30.42,17.65,78.03,50.17,12.28,7.79,6.06,0,1.56,0,0.17,4.5,5.19,14.53,9,3.81,7.27,0.52,13.84,3.63,2.25,0.52,4.5,3.46,2.25,1.73,0.35,0.17,0.17,0,4.67,0,0.17,0.35,0,5.88,1.04,1.04,0.52,1.73,1.38,1.21,2.08,1.56,0,0.17,0.52,0.35,0,0,0,5.54,0.69,2.08,1.9,0.69,0.17,3.46,9.52,1.38,11.42,1.73,7.09,3.29,4.33,1.38,0,1.04,0.17,0.35,0.69,0,0.35,0,0.35,0,20.42,4.84,3.98,0,0,0.17,1.21,0.69,2.08,0.35,0.35,6.75
34,862,80.25,85.18,12.69,90.68,24.63,19.03,76.33,45.24,9.4,5.68,0.58,1.62,2.55,0.58,0.35,3.71,7.31,12.41,8.12,3.36,6.26,1.16,14.15,4.18,2.32,1.28,3.25,2.55,4.41,4.18,0.23,0,0.12,0.12,10.44,0,0.12,0.35,0.81,9.05,1.86,1.28,1.62,2.09,1.39,2.44,2.55,2.2,0.23,0.12,0.58,0.46,0.12,0,0,8.82,3.6,2.2,1.86,2.32,0.12,2.09,9.63,2.44,11.48,2.09,5.92,3.71,3.94,2.09,0.81,1.04,0,0.12,0.23,0,0.23,0,0,0,18.33,6.38,4.06,0.93,0,0,0.46,0.46,0,0.7,1.16,4.18
35,108,60.8,99,1.22,99,27,28.7,75.93,40.74,15.74,11.11,0,8.33,2.78,0,0,4.63,6.48,7.41,5.56,3.7,5.56,0,12.96,4.63,1.85,0.93,1.85,1.85,10.19,10.19,0,0,0,0,17.59,0,0,0,0,8.33,1.85,3.7,0.93,0,1.85,0,1.85,1.85,0,0,0.93,0,0,0,0,19.44,12.96,3.7,3.7,2.78,0,0,11.11,1.85,6.48,0,4.63,0.93,6.48,3.7,0,0,0,0,3.7,0,2.78,0,0.93,0,25,5.56,2.78,3.7,0,0,1.85,0.93,0,0,0,10.19
36,112,89.84,39.43,10.26,99,22.4,19.64,73.21,35.71,4.46,3.57,3.57,0,0,0,0,0.89,8.04,8.93,5.36,1.79,8.04,0,12.5,6.25,2.68,0,1.79,5.36,8.93,8.04,0.89,0.89,0,0,1.79,0,0,0,0.89,10.71,1.79,1.79,1.79,3.57,1.79,0.89,1.79,1.79,0,0,0,0,0,0,0,8.93,0.89,5.36,2.68,3.57,0,4.46,8.04,0.89,8.93,0.89,1.79,6.25,4.46,0.89,0,2.68,0,0,0.89,0,0.89,0,0,0,16.96,8.04,8.04,0,0,0,0,0,0,0,0,0.89
37,128,73.47,97.42,35.37,99,64,19.53,85.16,46.09,19.53,17.97,7.81,0,10.16,0,0,1.56,6.25,11.72,5.47,3.12,1.56,0,10.94,7.81,0,1.56,0,3.12,7.03,7.03,0,0,0,0,17.19,0,0.78,0,0,4.69,0.78,0.78,0.78,2.34,0,0,7.03,6.25,0,0.78,7.03,1.56,1.56,0,1.56,8.59,3.12,0,5.47,0,0,1.56,6.25,3.12,10.94,2.34,7.03,1.56,3.91,0.78,0.78,1.56,0.78,0,0,0,0,0,0,0,31.25,6.25,6.25,0.78,8.59,0,0.78,0.78,0,2.34,1.56,3.91
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,300,75.14,19.31,58.78,95.36,27.27,22.67,81.33,46.33,8.67,5.33,5,0,0.33,0,0,3.33,5.67,13.67,9.33,4.33,6,2,15,5,2.67,1.33,1.67,2.33,6.67,5.67,1,0,0.33,0,2.67,0,0,0,0,12.67,0.67,3.33,1,3.33,1.67,4,3.67,2.67,0.33,0.67,0.67,0.33,0,0,0.33,7.67,0.33,5,1.67,2,0,4,9.33,1.33,13.67,3.33,5,5.33,5.33,4,0,1,0.33,0,1,0.67,0,0.33,0,0,20.33,6.33,5.33,0,0,0,0.33,1.33,2,2,2,1
40,789,90.94,76.5,14.21,80.8,19.73,20.28,78.58,44.61,8.62,5.58,0,0.13,0,2.41,3.04,3.04,6.34,16.1,6.46,2.41,6.34,0.38,12.67,6.46,3.04,0.76,2.92,3.8,3.3,3.17,0.13,0,0,0,8.62,0.25,0.38,1.39,1.27,6.97,1.14,2.03,0.63,1.01,1.01,1.14,2.28,1.77,0,0.51,1.01,0.76,0.25,0,0,7.86,2.15,3.17,2.41,0.89,0.13,5.83,5.83,1.39,15.34,1.01,9.25,5.45,4.82,2.66,0.63,1.77,0.13,0,0.38,0,0.13,0.13,0.13,0,15.97,5.96,5.2,0.13,0.13,0,0.51,0.63,0.76,1.65,0.25,0.76
